IATI Element,Field required?,Comments
`Activity Identifier <https://iatistandard.org/en/guidance/standard-overview/preparing-your-data/activity-information/creating-iati-identifiers/>`_,Mandatory,Constructed with the Reporting Organisation unique identifier and the organisation’s chosen activity number.
`Reporting Organisation <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/reporting-org/>`_,Mandatory,Unique identifier and name of organisation reporting the activity.
`Title <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/title/>`_,Mandatory,Title of the activity.
`Description <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/description/>`_,Mandatory,Meaningful description of the activity (minimum short paragraph).
`Activity Status <https://iatistandard.org/en/guidance/standard-guidance/activity-dates-status/>`_,Mandatory,Status of the activity (Pipeline/Implementation/…).
`Activity Date <https://iatistandard.org/en/guidance/standard-guidance/activity-dates-status/>`_,Mandatory,Planned start and end dates of the activity.
`Sector <https://iatistandard.org/en/guidance/standard-guidance/activity-thematic-focus/>`_,Mandatory,
`Participating Organisation <https://iatistandard.org/en/guidance/standard-guidance/activity-participants/>`_,Mandatory,"Funding - the organisation(s) funding the project.

Implementing - the organisation carrying out the actual work of the project.

Accountable - the organisation responsible for managing the delivery of the project."
`Recipient Country and/or Region <https://iatistandard.org/en/guidance/standard-guidance/countries-regions/>`_,Mandatory,"The country or countries that benefit from the activity – i.e. where impact is felt. These should be eligible for Official Development Assistance (ODA) and may differ from the location of the activity.

For example, activities undertaken in the territory of the donor country (e.g. research scholarships, training courses) should be assigned to individual recipient countries where the services are performed for the benefit of those countries.

Regions can be specified instead of, or as well as, individual countries if needed. When using percentages, all percentages across countries and regions must add up to 100%."
`Budget <https://iatistandard.org/en/guidance/standard-guidance/activity-budgets/>`_,Mandatory,
`Transactions <https://iatistandard.org/en/guidance/standard-guidance/financial-transactions/>`_,Mandatory,"Incoming Funds and Outgoing Disbursements are mandatory. 

Expenditure, Incoming and Outgoing Commitments to include if applicable."
`Contact Info <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/contact-info/>`_,Mandatory,Contact address and email for the reporting organisation. This can be a generic enquiry email address.
`Results <https://iatistandard.org/en/guidance/standard-guidance/results/>`_,Varies by funder (`more information <https://iati-downstream-partner-publishing-guidelines.readthedocs-hosted.com/en/latest/funder_specific_info/>`_),Data on results and indicators of the project. This can include links to published documents.
`Policy Marker <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/policy-marker/>`_,Recommended,
`Location <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/location/>`_,Optional,Location of the activity or its beneficiaries on a sub-national level.
`Documents <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/document-link/>`_,Optional,"Documents relating to the activity including project proposal, Theory of Change, reports, pictures, project updates etc."
`Tag <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/tag/>`_,Optional,
`Humanitarian Scope <https://iatistandard.org/en/guidance/standard-guidance/humanitarian/>`_,Optional,
`Planned Disbursements <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/planned-disbursement/>`_,Optional,
`Activity Scope <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/activity-scope/>`_,Optional,"The geographical scope of the activity: regional, national, subnational, etc."
`Collaboration Type <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/collaboration-type/>`_,Optional,
`Default Flow Type <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/default-flow-type/>`_,Optional,
`Default Finance Type <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/default-finance-type/>`_,Optional,
`Default Aid Type <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/default-aid-type/>`_,Optional,
`Default Tied Status <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/default-tied-status/>`_,Optional,
`Other Activity Identifier(s) <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/other-identifier/>`_,Optional,An internal reference number for the activity (if applicable).
`Related Activities <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/related-activity/>`_,Optional,Another separately reported IATI activity that is related to this one.
`Legacy Data <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/legacy-data/>`_,Optional,"The legacy data element allows for the reporting of values held in a field in the reporting organisation’s system which is similar, but not identical to an IATI element."
`Conditions <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/conditions/>`_,Optional,Information on the conditions for the project.